t,tc_l2_E,tc_l2_I,tc_ma_E,tc_ma_I,cos_E,cos_I
0,4.1913815948646516e-05,2.1163337805774063e-05,2.370530410189531e-06,2.3933027932798723e-06,-0.011607496999204159,-0.03492050617933273
1,5.052066990174353e-05,2.558782580308616e-05,2.8609520086320117e-06,2.9001387247262755e-06,-0.010705549269914627,-0.029375744983553886
2,6.165543163660914e-05,3.129528704448603e-05,3.494998736641719e-06,3.554140448613907e-06,-0.01132232416421175,-0.024751784279942513
3,7.608855958096683e-05,3.869811553158797e-05,4.318813353165751e-06,4.4048906602256466e-06,-0.013848986476659775,-0.023246366530656815
4,9.508016228210181e-05,4.849583638133481e-05,5.405452611739747e-06,5.5347632041957695e-06,-0.018879801034927368,-0.026828592643141747
5,0.00012056954437866807,6.172715802676976e-05,6.867845968372421e-06,7.062843906169292e-06,-0.025384794920682907,-0.03574628382921219
6,0.00015484081814065576,7.964082760736346e-05,8.834392247081269e-06,9.127764315053355e-06,-0.03229650855064392,-0.04801175743341446
7,0.00020052946638315916,0.00010364130139350891,1.1450729289208539e-05,1.1887676009791903e-05,-0.03484594076871872,-0.053292468190193176
8,0.00019657885422930121,0.00010170246241614223,1.1222204193472862e-05,1.165902995126089e-05,-0.02892456017434597,-0.050554659217596054
9,0.00015015635290183127,7.74486834416166e-05,8.556085049349349e-06,8.858456567395478e-06,3.0232127755880356e-05,-0.036850638687610626
10,8.500243711750954e-05,4.348452057456598e-05,4.8156721277337056e-06,4.950418315274874e-06,0.019031720235943794,-0.020660944283008575
11,5.89406699873507e-05,3.0014522053534165e-05,3.3156643439724576e-06,3.391174232092453e-06,0.02780698984861374,-0.0045185331255197525
12,6.779420073144138e-05,3.447251219768077e-05,3.823188308160752e-06,3.909507086063968e-06,0.01591094583272934,-0.008323987014591694
13,8.097058162093163e-05,4.124423139728606e-05,4.577951131068403e-06,4.6959576138760895e-06,0.006907026749104261,-0.010477288626134396
14,9.933226829161867e-05,5.080841219751164e-05,5.631006388284732e-06,5.801509814773453e-06,-0.0009053789544850588,-0.014283958822488785
15,0.00012444934691302478,6.400299753295258e-05,7.073240340105258e-06,7.323239515244495e-06,-0.00867382436990738,-0.020747125148773193
16,0.00015848560724407434,8.198143768822774e-05,9.02766169019742e-06,9.391017556481529e-06,-0.01586933434009552,-0.029064133763313293
17,0.00018259522039443254,9.49203094933182e-05,1.0416547411296051e-05,1.0880755326070357e-05,-0.019587619230151176,-0.03439043462276459
18,0.00017939052486326545,9.354246139992028e-05,1.022883316181833e-05,1.0715033567976207e-05,-0.012408939190208912,-0.03268752992153168
19,0.00014334183651953936,7.445253140758723e-05,8.159502613125369e-06,8.511031410307623e-06,0.0016960345674306154,-0.022661736235022545
20,0.00010073784505948424,5.201617022976279e-05,5.717772182833869e-06,5.918802798987599e-06,0.01838431879878044,-0.014245402067899704
21,7.244931475725025e-05,3.701530658872798e-05,4.0938862184702884e-06,4.191265361441765e-06,0.02592356689274311,-0.015194970183074474
22,7.003585778875276e-05,3.5496545024216175e-05,3.95449751522392e-06,4.013964826299343e-06,0.023857351392507553,-0.01910809800028801
23,8.331130811711773e-05,4.22228331444785e-05,4.712850113719469e-06,4.787777015735628e-06,0.014567630365490913,-0.02249928191304207
24,0.00010203093552263454,5.187550777918659e-05,5.7844026741804555e-06,5.902308203076245e-06,0.006508145481348038,-0.02629346400499344
25,0.00012767603038810194,6.523482443299145e-05,7.255124273797264e-06,7.440513400069904e-06,-0.0009989379905164242,-0.03241283446550369
26,0.00015319765952881426,7.863450446166098e-05,8.72342297952855e-06,8.98376038094284e-06,-0.006817204877734184,-0.03915633261203766
27,0.00017130676133092493,8.824324322631583e-05,9.764795322553255e-06,1.0071508768305648e-05,-0.00874251127243042,-0.03985732048749924
28,0.00016777297423686832,8.613659883849323e-05,9.561564183968585e-06,9.819020306167658e-06,-0.004665848333388567,-0.03817380219697952
29,0.00014027862926013768,7.169316813815385e-05,7.983282557688653e-06,8.162618541973643e-06,0.007105096243321896,-0.03371046110987663
30,0.00010557317000348121,5.391544254962355e-05,5.992092155793216e-06,6.1274381550902035e-06,0.01797204092144966,-0.02129969373345375
31,8.248942322097719e-05,4.192952474113554e-05,4.670799171435647e-06,4.750130301545141e-06,0.022129327058792114,-0.008655993267893791
32,7.581415411550552e-05,3.8372803828679025e-05,4.288672244001646e-06,4.349532446212834e-06,0.018503710627555847,-0.003961179405450821
33,8.475659706164151e-05,4.2849889723584056e-05,4.799996986548649e-06,4.863062713411637e-06,0.011650037951767445,-0.006237251218408346
34,0.00010362811735831201,5.2590243285521865e-05,5.88117018196499e-06,5.985950792819494e-06,0.003075864166021347,-0.012946628034114838
35,0.0001263440790353343,6.442209996748716e-05,7.183813977462705e-06,7.34946115699131e-06,-0.004244618583470583,-0.02029407024383545
36,0.00014931851183064282,7.655451918253675e-05,8.5021447375766e-06,8.744154911255464e-06,-0.008927924558520317,-0.026484591886401176
37,0.0001595184439793229,8.235672430600971e-05,9.090661478694528e-06,9.416661669092719e-06,-0.009752767160534859,-0.02906019240617752
38,0.00015560518659185618,8.05388335720636e-05,8.86660836840747e-06,9.21152241062373e-06,-0.004956112243235111,-0.024063214659690857
39,0.0001385307259624824,7.13998160790652e-05,7.888499567343388e-06,8.155017894750927e-06,0.003534379880875349,-0.019231097772717476
40,0.00011060115502914414,5.674256317433901e-05,6.28585303275031e-06,6.44959436613135e-06,0.011972212232649326,-0.010653895325958729
41,8.81222658790648e-05,4.50233492301777e-05,4.9960481192101724e-06,5.102996965433704e-06,0.017572253942489624,-0.0031416951678693295
42,8.126047760015354e-05,4.144801641814411e-05,4.596924554789439e-06,4.693029950431082e-06,0.016216609627008438,-9.210046846419573e-05
43,8.857358625391498e-05,4.521581649896689e-05,5.017255261918763e-06,5.1273541430418845e-06,0.009896142408251762,-0.00016677461098879576
44,0.00010603090049698949,5.424700793810189e-05,6.021318313287338e-06,6.171048426040215e-06,0.0021197800524532795,-0.00586339645087719
45,0.0001272987137781456,6.538270099554211e-05,7.244301741593517e-06,7.45801980883698e-06,-0.005066221579909325,-0.010646500624716282
46,0.00014525098958984017,7.465394446626306e-05,8.277856068161782e-06,8.52734774525743e-06,-0.008823679760098457,-0.017394129186868668
47,0.00015374609210994095,7.915619062259793e-05,8.766242899582721e-06,9.030419278133195e-06,-0.006974551826715469,-0.025055836886167526
48,0.00014887345605529845,7.65743970987387e-05,8.480628821416758e-06,8.747809260967188e-06,-0.0015975736314430833,-0.028429251164197922
49,0.00013473241415340453,6.935598503332585e-05,7.663553333259188e-06,7.916384674899746e-06,0.0052563222125172615,-0.02441941201686859
50,0.0001169081442640163,5.9972571762045845e-05,6.6347879510431085e-06,6.821293936809525e-06,0.010076403617858887,-0.01343085803091526
51,9.490216325502843e-05,4.845096555072814e-05,5.376573881221702e-06,5.5001733016979415e-06,0.01584353856742382,-0.011244707740843296
52,8.612996316514909e-05,4.37717026215978e-05,4.877439550909912e-06,4.9652508096187375e-06,0.01700742170214653,-0.006828658748418093
53,9.248289279639721e-05,4.692835864261724e-05,5.24329288964509e-06,5.328391125658527e-06,0.011398176662623882,-0.009744808077812195
54,0.00010742074664449319,5.461228283820674e-05,6.1035702856315766e-06,6.210345418367069e-06,0.004859179724007845,-0.014550221152603626
55,0.00012659050116781145,6.45842810627073e-05,7.204745998024009e-06,7.361370990111027e-06,-0.0018551622051745653,-0.01904918998479843
56,0.0001443724613636732,7.392575207632035e-05,8.22729998617433e-06,8.440943020104896e-06,-0.005993449129164219,-0.02250145748257637
57,0.0001502826635260135,7.719198038103059e-05,8.562866241845768e-06,8.819289178063627e-06,-0.0063187796622514725,-0.02289152890443802
58,0.00014438747894018888,7.425435615004972e-05,8.225882083934266e-06,8.475472895952407e-06,-0.001217961311340332,-0.022376468405127525
59,0.0001334824919467792,6.878458225401118e-05,7.598196134495083e-06,7.843114872230217e-06,0.004664431791752577,-0.0189247727394104
60,0.00011542132415343076,5.9349811635911465e-05,6.561779628100339e-06,6.751656201231526e-06,0.00917517114430666,-0.011718790978193283
61,9.657879854785278e-05,4.9774076614994556e-05,5.476351816469105e-06,5.64333777219872e-06,0.013070161454379559,-0.0035244417376816273
62,8.981771679827943e-05,4.6139386540744454e-05,5.08706170876394e-06,5.225777840678347e-06,0.013639585115015507,-0.0004661515122279525
63,9.656628390075639e-05,4.955845361109823e-05,5.471958502312191e-06,5.624308414553525e-06,0.008827832527458668,-0.003023772034794092
64,0.00011056444782298058,5.668024095939472e-05,6.275307896430604e-06,6.441164259740617e-06,0.002935315715149045,-0.00908803939819336
65,0.0001271443470614031,6.523074262076989e-05,7.230692517623538e-06,7.417869255732512e-06,-0.002670611720532179,-0.012950925156474113
66,0.00014078279491513968,7.217263919301331e-05,8.014580089366063e-06,8.223745680879802e-06,-0.005973971448838711,-0.016410956159234047
67,0.000147586441016756,7.58682144805789e-05,8.405682820011862e-06,8.647885806567501e-06,-0.004343997687101364,-0.02149496227502823
68,0.00014048957382328808,7.232662028400227e-05,7.997567990969401e-06,8.244591299444437e-06,-4.3067499063909054e-05,-0.02181391604244709
69,0.0001279494899790734,6.592504360014573e-05,7.274571544257924e-06,7.50700019125361e-06,0.005571142304688692,-0.014557837508618832
70,0.00011365652608219534,5.8455403632251546e-05,6.452284196711844e-06,6.641184882028028e-06,0.009680913761258125,-0.011387549340724945
71,0.0001023806253215298,5.2465627959463745e-05,5.803630301670637e-06,5.95752908338909e-06,0.01331834401935339,-0.011732552200555801
72,9.688919817563146e-05,4.9525075155543163e-05,5.490019248099998e-06,5.613117082248209e-06,0.012543887831270695,-0.00879150815308094
73,9.889082139125094e-05,5.0338807341177016e-05,5.6044359553197864e-06,5.715932729799533e-06,0.010214995592832565,-0.01122230850160122
74,0.00010939367348328233,5.5777076340746135e-05,6.206432317412691e-06,6.341964308376191e-06,0.005514736287295818,-0.014420928433537483
75,0.0001232284848811105,6.29645146545954e-05,7.00444434187375e-06,7.157855634432053e-06,0.000447236408945173,-0.01974332705140114
76,0.00013854107237420976,7.090660074027255e-05,7.886703315307386e-06,8.067900125752203e-06,-0.002787681296467781,-0.021321598440408707
77,0.00014299547183327377,7.338570867432281e-05,8.143679224303924e-06,8.36462186271092e-06,-0.003204184118658304,-0.02506750449538231
78,0.00013900903286412358,7.139438821468502e-05,7.915539754321799e-06,8.134976269502658e-06,0.0019463944481685758,-0.027511805295944214
79,0.00013054201554041356,6.720269448123872e-05,7.425440344377421e-06,7.665898010600358e-06,0.005134808365255594,-0.02074614353477955
80,0.00011698983144015074,6.0032263718312606e-05,6.645255780313164e-06,6.845376901765121e-06,0.008107747882604599,-0.011378737166523933
