Wbp,Fisher,type
1.0361942,6.1993674e-11,E
1.3275359,1.1193519e-10,E
1.077767,7.099569e-11,E
1.5585212,1.2697e-10,E
1.3418511,1.0111177e-10,E
1.2103465,8.286554e-11,E
1.1222932,7.437394e-11,E
1.2738701,9.455889e-11,E
1.0681686,6.532707e-11,E
1.4508119,1.3211947e-10,E
0.9572207,6.0450076e-11,I
1.3423764,1.0086707e-10,E
1.4777972,1.2828649e-10,E
0.95752305,6.3368026e-11,E
1.3070346,1.00133304e-10,I
1.3405107,1.10339626e-10,I
1.145954,8.5146314e-11,E
1.4168265,1.3486745e-10,E
1.2285366,9.6175956e-11,E
1.4010397,1.07925495e-10,E
1.2042308,8.6990935e-11,E
1.235021,9.55151e-11,E
1.1103872,7.0750225e-11,E
1.3937442,1.0547946e-10,E
1.3963,1.0926309e-10,E
1.2781258,8.8687425e-11,E
1.579412,1.3867431e-10,E
1.1279659,9.332288e-11,E
1.01171,6.15337e-11,E
1.4403328,1.2782897e-10,E
1.457562,1.220038e-10,E
1.1157875,7.9629824e-11,E
1.3324374,1.03205715e-10,E
0.6602786,3.025469e-11,E
1.2695467,1.04718345e-10,E
1.2825147,9.983253e-11,E
1.2998241,9.457565e-11,E
1.0018713,5.7161345e-11,E
1.155405,8.4656976e-11,E
1.3273026,8.80044e-11,E
1.1628971,8.356842e-11,E
1.0588808,7.183746e-11,E
1.0208936,6.43375e-11,E
1.2268157,8.9922715e-11,E
1.062006,6.8303786e-11,E
1.1813092,9.0165576e-11,E
1.1260616,7.962239e-11,E
1.1007212,7.1657e-11,E
1.18554,8.734581e-11,E
1.179053,8.13856e-11,E
0.93164843,5.3594636e-11,E
1.7262546,1.5489995e-10,E
1.2196318,8.68254e-11,E
1.0268924,5.9295284e-11,E
1.1489244,7.902196e-11,E
1.612229,1.6548418e-10,E
1.0307778,6.9873454e-11,I
1.3303014,1.0790168e-10,E
1.1848471,7.4799104e-11,E
1.0428275,7.4650834e-11,I
0.91442925,5.844945e-11,E
1.2529246,9.599957e-11,I
0.8596447,4.1328635e-11,E
1.1426827,7.2950715e-11,E
1.3641784,1.0351233e-10,E
1.2401221,9.322149e-11,E
1.0099057,5.7999643e-11,E
1.0017533,5.9062435e-11,I
1.091451,7.2957404e-11,I
1.6198516,1.4594535e-10,E
1.2671936,8.6109855e-11,I
0.8643747,5.3834368e-11,E
1.358391,9.9608904e-11,E
1.2830223,9.020246e-11,E
0.8997573,5.371437e-11,I
1.3253382,1.0275801e-10,E
1.0292276,6.2653854e-11,E
1.083159,6.4372355e-11,E
1.1669633,7.539872e-11,I
1.0164096,5.5058565e-11,I
1.4454165,1.3187815e-10,E
1.6246476,1.6152249e-10,I
1.377245,1.1133527e-10,E
1.1492475,7.438942e-11,E
1.3823795,9.69625e-11,E
1.1737727,7.1067055e-11,E
1.3221369,8.994925e-11,E
0.9136997,5.401967e-11,E
1.226451,8.5388405e-11,E
1.6041266,1.4475628e-10,I
1.40297,1.1103958e-10,I
1.3855095,1.0931762e-10,E
0.8430131,4.008223e-11,E
1.09999,6.455525e-11,E
1.0603514,6.511932e-11,E
1.189282,9.580798e-11,I
0.845135,4.579109e-11,E
1.1311005,6.9596405e-11,E
0.95310956,5.4158893e-11,E
1.4550505,1.1075933e-10,E
1.3222808,9.9542825e-11,E
1.3402287,1.0757275e-10,E
1.5660175,1.3588904e-10,I
0.918658,5.5015385e-11,E
0.93920994,5.73817e-11,E
0.91362923,5.1223203e-11,E
1.5133775,1.3647616e-10,I
1.4105426,1.1754794e-10,I
1.0255816,5.754759e-11,E
1.4252688,1.1209614e-10,E
1.2289597,9.663904e-11,E
1.3734976,1.05057796e-10,E
1.688849,1.7592945e-10,E
0.89233106,5.065663e-11,E
1.6495028,1.501674e-10,I
1.0720106,6.121346e-11,I
0.9491181,5.7774504e-11,E
0.82542765,4.1329377e-11,E
1.4156328,1.12474335e-10,E
1.0950713,7.2729045e-11,E
1.1145772,7.53948e-11,E
1.4701227,1.239531e-10,E
0.7870969,3.5563278e-11,E
1.0460045,7.012296e-11,E
1.2838131,7.9501364e-11,E
1.2447641,9.337488e-11,I
1.1078994,7.216333e-11,E
1.3336635,1.0151423e-10,E
1.0230383,5.955086e-11,E
0.93734175,5.526675e-11,E
1.2934566,1.0077255e-10,E
1.4000841,1.3500316e-10,E
1.2695667,1.0047984e-10,E
1.2616352,9.0128884e-11,I
1.6088998,1.4648005e-10,I
1.3117878,9.935291e-11,E
0.8658816,4.470876e-11,E
1.0383615,6.17583e-11,E
1.3859581,1.0507927e-10,I
1.1171176,7.18361e-11,I
1.6217806,1.5119037e-10,E
1.2193403,7.777445e-11,E
1.0681268,6.188882e-11,E
1.2778293,8.659319e-11,E
1.2626787,8.939127e-11,E
0.8146288,4.358227e-11,E
1.1331673,7.872819e-11,I
1.1946838,8.589716e-11,I
1.2722611,9.553214e-11,I
1.4218715,1.3445375e-10,E
1.3911339,1.0105096e-10,E
1.1332955,6.4758955e-11,E
1.4260632,1.10750326e-10,E
1.3706995,1.2333992e-10,I
1.1019869,7.326058e-11,I
1.0648056,7.576224e-11,E
1.3198904,9.1273177e-11,E
1.6584389,1.4682916e-10,E
1.2670647,1.0071189e-10,E
1.3460044,1.0367575e-10,E
1.418964,1.09569784e-10,E
1.3124366,1.0211113e-10,E
1.2382258,8.190939e-11,E
1.3792892,1.00555696e-10,E
1.6667374,1.6856608e-10,E
1.0155749,6.150544e-11,E
1.2338474,8.6670254e-11,E
1.5490768,1.3726037e-10,E
1.3274913,9.9716096e-11,E
1.0530192,6.7974675e-11,E
